type,bits,sample,iterations
collision,8,0,27
collision,8,1,19
collision,8,2,14
collision,8,3,29
collision,8,4,5
collision,8,5,38
collision,8,6,29
collision,8,7,22
collision,8,8,19
collision,8,9,14
collision,8,10,27
collision,8,11,12
collision,8,12,37
collision,8,13,52
collision,8,14,21
collision,8,15,18
collision,8,16,17
collision,8,17,22
collision,8,18,9
collision,8,19,21
collision,8,20,25
collision,8,21,32
collision,8,22,19
collision,8,23,25
collision,8,24,36
collision,8,25,15
collision,8,26,14
collision,8,27,25
collision,8,28,30
collision,8,29,27
collision,8,30,10
collision,8,31,21
collision,8,32,26
collision,8,33,11
collision,8,34,23
collision,8,35,18
collision,8,36,26
collision,8,37,21
collision,8,38,31
collision,8,39,19
collision,8,40,52
collision,8,41,27
collision,8,42,20
collision,8,43,31
collision,8,44,10
collision,8,45,16
collision,8,46,11
collision,8,47,30
collision,8,48,8
collision,8,49,25
preimage,8,0,233
preimage,8,1,60
preimage,8,2,298
preimage,8,3,172
preimage,8,4,43
preimage,8,5,392
preimage,8,6,208
preimage,8,7,57
preimage,8,8,123
preimage,8,9,144
preimage,8,10,63
preimage,8,11,257
preimage,8,12,136
preimage,8,13,138
preimage,8,14,100
preimage,8,15,14
preimage,8,16,579
preimage,8,17,75
preimage,8,18,34
preimage,8,19,113
preimage,8,20,1828
preimage,8,21,123
preimage,8,22,81
preimage,8,23,79
preimage,8,24,44
preimage,8,25,240
preimage,8,26,32
preimage,8,27,249
preimage,8,28,55
preimage,8,29,156
preimage,8,30,402
preimage,8,31,18
preimage,8,32,327
preimage,8,33,723
preimage,8,34,251
preimage,8,35,499
preimage,8,36,585
preimage,8,37,27
preimage,8,38,157
preimage,8,39,37
preimage,8,40,174
preimage,8,41,353
preimage,8,42,91
preimage,8,43,200
preimage,8,44,239
preimage,8,45,624
preimage,8,46,478
preimage,8,47,30
preimage,8,48,573
preimage,8,49,260
collision,10,0,25
collision,10,1,50
collision,10,2,30
collision,10,3,37
collision,10,4,52
collision,10,5,16
collision,10,6,35
collision,10,7,31
collision,10,8,51
collision,10,9,17
collision,10,10,67
collision,10,11,54
collision,10,12,13
collision,10,13,24
collision,10,14,51
collision,10,15,40
collision,10,16,16
collision,10,17,25
collision,10,18,28
collision,10,19,105
collision,10,20,49
collision,10,21,32
collision,10,22,36
collision,10,23,34
collision,10,24,16
collision,10,25,21
collision,10,26,46
collision,10,27,9
collision,10,28,61
collision,10,29,23
collision,10,30,20
collision,10,31,31
collision,10,32,12
collision,10,33,65
collision,10,34,18
collision,10,35,41
collision,10,36,70
collision,10,37,9
collision,10,38,43
collision,10,39,65
collision,10,40,44
collision,10,41,25
collision,10,42,61
collision,10,43,30
collision,10,44,73
collision,10,45,16
collision,10,46,41
collision,10,47,47
collision,10,48,20
collision,10,49,28
preimage,10,0,2656
preimage,10,1,199
preimage,10,2,107
preimage,10,3,79
preimage,10,4,1147
preimage,10,5,2406
preimage,10,6,2803
preimage,10,7,1117
preimage,10,8,83
preimage,10,9,1419
preimage,10,10,597
preimage,10,11,42
preimage,10,12,865
preimage,10,13,2185
preimage,10,14,763
preimage,10,15,2587
preimage,10,16,643
preimage,10,17,2
preimage,10,18,25
preimage,10,19,797
preimage,10,20,193
preimage,10,21,932
preimage,10,22,120
preimage,10,23,268
preimage,10,24,7
preimage,10,25,1677
preimage,10,26,117
preimage,10,27,1200
preimage,10,28,561
preimage,10,29,1177
preimage,10,30,1836
preimage,10,31,1197
preimage,10,32,379
preimage,10,33,426
preimage,10,34,135
preimage,10,35,737
preimage,10,36,851
preimage,10,37,69
preimage,10,38,2468
preimage,10,39,1844
preimage,10,40,1847
preimage,10,41,53
preimage,10,42,1085
preimage,10,43,1693
preimage,10,44,19
preimage,10,45,250
preimage,10,46,286
preimage,10,47,246
preimage,10,48,507
preimage,10,49,302
collision,12,0,86
collision,12,1,82
collision,12,2,145
collision,12,3,66
collision,12,4,100
collision,12,5,96
collision,12,6,35
collision,12,7,58
collision,12,8,164
collision,12,9,71
collision,12,10,13
collision,12,11,48
collision,12,12,30
collision,12,13,42
collision,12,14,55
collision,12,15,12
collision,12,16,48
collision,12,17,162
collision,12,18,15
collision,12,19,142
collision,12,20,31
collision,12,21,70
collision,12,22,48
collision,12,23,71
collision,12,24,112
collision,12,25,71
collision,12,26,100
collision,12,27,123
collision,12,28,50
collision,12,29,104
collision,12,30,80
collision,12,31,31
collision,12,32,135
collision,12,33,115
collision,12,34,140
collision,12,35,84
collision,12,36,111
collision,12,37,101
collision,12,38,95
collision,12,39,48
collision,12,40,50
collision,12,41,36
collision,12,42,86
collision,12,43,94
collision,12,44,100
collision,12,45,59
collision,12,46,23
collision,12,47,36
collision,12,48,146
collision,12,49,31
preimage,12,0,4194
preimage,12,1,915
preimage,12,2,2565
preimage,12,3,1150
preimage,12,4,6005
preimage,12,5,3627
preimage,12,6,2333
preimage,12,7,745
preimage,12,8,473
preimage,12,9,1758
preimage,12,10,7777
preimage,12,11,4009
preimage,12,12,13322
preimage,12,13,3588
preimage,12,14,1435
preimage,12,15,5716
preimage,12,16,1721
preimage,12,17,978
preimage,12,18,474
preimage,12,19,1197
preimage,12,20,6260
preimage,12,21,25
preimage,12,22,2341
preimage,12,23,9806
preimage,12,24,6522
preimage,12,25,17199
preimage,12,26,4095
preimage,12,27,12535
preimage,12,28,3708
preimage,12,29,1665
preimage,12,30,398
preimage,12,31,36
preimage,12,32,242
preimage,12,33,4687
preimage,12,34,4167
preimage,12,35,13032
preimage,12,36,4872
preimage,12,37,12142
preimage,12,38,777
preimage,12,39,3800
preimage,12,40,2466
preimage,12,41,499
preimage,12,42,6235
preimage,12,43,887
preimage,12,44,937
preimage,12,45,3940
preimage,12,46,3982
preimage,12,47,181
preimage,12,48,1363
preimage,12,49,4484
collision,14,0,352
collision,14,1,165
collision,14,2,138
collision,14,3,228
collision,14,4,209
collision,14,5,148
collision,14,6,201
collision,14,7,112
collision,14,8,301
collision,14,9,25
collision,14,10,88
collision,14,11,39
collision,14,12,26
collision,14,13,37
collision,14,14,161
collision,14,15,59
collision,14,16,284
collision,14,17,248
collision,14,18,138
collision,14,19,115
collision,14,20,147
collision,14,21,184
collision,14,22,209
collision,14,23,149
collision,14,24,95
collision,14,25,244
collision,14,26,196
collision,14,27,95
collision,14,28,142
collision,14,29,115
collision,14,30,162
collision,14,31,145
collision,14,32,162
collision,14,33,100
collision,14,34,68
collision,14,35,107
collision,14,36,65
collision,14,37,325
collision,14,38,201
collision,14,39,147
collision,14,40,236
collision,14,41,204
collision,14,42,163
collision,14,43,177
collision,14,44,99
collision,14,45,112
collision,14,46,140
collision,14,47,64
collision,14,48,139
collision,14,49,42
preimage,14,0,14563
preimage,14,1,13580
preimage,14,2,6062
preimage,14,3,33414
preimage,14,4,1641
preimage,14,5,54610
preimage,14,6,32824
preimage,14,7,40063
preimage,14,8,34709
preimage,14,9,14831
preimage,14,10,5118
preimage,14,11,13033
preimage,14,12,3501
preimage,14,13,836
preimage,14,14,7516
preimage,14,15,5111
preimage,14,16,4414
preimage,14,17,19326
preimage,14,18,16454
preimage,14,19,9785
preimage,14,20,11878
preimage,14,21,10405
preimage,14,22,3046
preimage,14,23,4562
preimage,14,24,22515
preimage,14,25,3479
preimage,14,26,28316
preimage,14,27,21584
preimage,14,28,905
preimage,14,29,829
preimage,14,30,4698
preimage,14,31,13571
preimage,14,32,12687
preimage,14,33,19439
preimage,14,34,45340
preimage,14,35,18599
preimage,14,36,48408
preimage,14,37,2081
preimage,14,38,5165
preimage,14,39,481
preimage,14,40,29903
preimage,14,41,18033
preimage,14,42,889
preimage,14,43,14588
preimage,14,44,1906
preimage,14,45,984
preimage,14,46,4452
preimage,14,47,4768
preimage,14,48,3955
preimage,14,49,16143
collision,16,0,393
collision,16,1,349
collision,16,2,10
collision,16,3,221
collision,16,4,814
collision,16,5,295
collision,16,6,357
collision,16,7,353
collision,16,8,903
collision,16,9,381
collision,16,10,641
collision,16,11,162
collision,16,12,489
collision,16,13,374
collision,16,14,379
collision,16,15,215
collision,16,16,635
collision,16,17,271
collision,16,18,402
collision,16,19,261
collision,16,20,458
collision,16,21,218
collision,16,22,154
collision,16,23,190
collision,16,24,91
collision,16,25,392
collision,16,26,332
collision,16,27,160
collision,16,28,515
collision,16,29,352
collision,16,30,84
collision,16,31,278
collision,16,32,231
collision,16,33,186
collision,16,34,248
collision,16,35,438
collision,16,36,461
collision,16,37,43
collision,16,38,664
collision,16,39,201
collision,16,40,366
collision,16,41,286
collision,16,42,254
collision,16,43,448
collision,16,44,757
collision,16,45,416
collision,16,46,656
